Customer_ID,Age,Gender,Category,Product_ID,Sales,Quantity,Discount,Profit,Date,Region,Payment_Method
67114.0,Unknown,Female,Electronics,886562,7028.91,11,0.48,-70.92,2024-11-15,,
47996.0,Unknown,,Home Decor,831285,8172.25,32,-0.05,2928.32,2024-01-19,East,Cash
62107.0,Unknown,Female,Toys,678503,6225.42,9,0.91,4543.98,2024-05-14,South,Cash
93630.0,Unknown,Male,,822228,9861.37,-4,0.59,3185.98,2023-08-03,East,
59700.0,Unknown,,Home Decor,346207,2712.8,-1,0.39,4937.54,2025-04-10,East,
2140.0,Unknown,,Misc,589402,-293.57,13,0.43,4006.62,2025-03-01,Central,Cash
22992.0,Unknown,,Misc,506076,7379.93,35,0.12,1398.89,2024-04-15,Central,UPI
74737.0,21,,Clothing,153671,7865.7,1,0.61,4193.68,2023-09-18,North,
74018.0,Unknown,Male,Electronics,800981,3581.69,24,0.53,340.21,2025-02-24,West,
84457.0,63,,Toys,284527,8355.7,9,0.46,1403.51,2024-09-09,Central,
6115.0,64,Female,Misc,61489,-315.85,15,0.62,4892.07,2024-06-12,Unknown,Card
60142.0,Unknown,Female,Electronics,916956,9920.96,-5,1.2,39.95,2023-12-19,Unknown,UPI
93721.0,Unknown,Female,Misc,775493,3381.53,14,0.88,4597.17,2024-06-05,East,
16315.0,Unknown,Female,Electronics,478041,8128.11,4,0.93,3193.78,2024-12-05,Central,Card
80825.0,47,Male,Home Decor,189874,2451.58,41,0.3,3865.39,2024-03-01,Central,Card
84896.0,Unknown,Male,Electronics,969255,8356.38,33,0.5,3418.65,2025-04-26,North,Cash
,61,Male,Misc,792445,3722.85,45,0.36,2673.45,2024-01-05,East,UPI
56176.0,40,Female,Electronics,45030,6051.6,33,0.8,1858.64,2024-06-10,North,
4686.0,50,Female,Misc,383791,5990.94,13,0.44,3642.83,2024-06-01,West,UPI
46060.0,63,,Toys,930145,7502.24,22,0.32,363.67,2023-06-19,East,Cash
18329.0,47,Female,Toys,238684,3997.43,14,0.87,964.25,2024-12-09,Unknown,
67857.0,46,Female,Home Decor,865138,8887.08,24,0.9,2436.34,,South,
48302.0,59,Male,Groceries,303560,4833.15,18,0.5,4646.59,2023-06-25,South,Cash
85447.0,42,Male,Home Decor,19854,6196.84,40,0.55,3499.24,2024-07-30,North,
93417.0,Unknown,,Electronics,285328,8444.63,22,0.04,2294.15,,East,Cash
90292.0,Unknown,Male,Misc,972941,863.88,41,-0.15,2094.53,2023-11-30,Unknown,Card
50285.0,Unknown,Female,Groceries,233011,604.07,25,0.02,59.59,2024-03-30,South,Card
20287.0,,Female,Home Decor,363124,7754.88,12,0.67,3521.58,2023-08-15,West,UPI
45643.0,53,,Groceries,538113,5756.91,9,1.01,3375.58,2023-12-09,West,Card
43713.0,51,Male,Electronics,945957,5034.82,42,0.1,801.34,2024-03-02,North,UPI
85115.0,51,,Electronics,189572,3397.32,28,0.85,3907.99,2024-08-03,Unknown,Card
68887.0,19,,Clothing,448991,1213.66,12,1.03,102.17,2024-08-31,North,
11208.0,45,Male,Electronics,72715,7488.4,-3,0.07,2190.33,2023-12-19,Unknown,Card
92471.0,Unknown,,Toys,947316,4154.2,41,0.48,3290.69,2024-06-18,Central,UPI
99437.0,Unknown,,Misc,508110,3075.17,0,0.75,3040.24,2023-11-22,South,Cash
32762.0,57,Female,Toys,826989,7109.95,18,0.11,1686.68,2025-01-30,South,Card
98820.0,Unknown,,Home Decor,781616,5826.52,42,-0.02,1877.95,2025-01-19,West,
55628.0,19,,Electronics,327426,4162.67,5,0.73,4790.47,2024-06-17,Unknown,
,54,Female,Groceries,465077,-494.77,7,1.13,667.55,2025-03-21,North,Card
54552.0,18,,Electronics,613628,2703.86,10,1.11,3552.0,2025-04-08,South,UPI
12043.0,Unknown,Female,Toys,212574,3032.65,-2,0.48,3145.12,2024-09-16,West,UPI
70850.0,36,Male,Home Decor,251194,360.95,20,0.8,2136.11,2024-02-13,North,Card
73721.0,22,,Groceries,328615,4792.79,13,0.24,3901.02,2024-03-25,Central,Card
,65,Male,Home Decor,524246,4292.45,36,0.7,363.86,2024-11-27,Central,
7771.0,Unknown,,Groceries,27066,2457.87,7,0.21,3056.6,2023-06-19,East,
81809.0,47,Male,Home Decor,414405,126.75,-3,0.88,3741.87,2023-08-19,West,Card
86861.0,30,,Home Decor,371746,8385.97,39,0.6,2022.28,2024-04-17,Central,UPI
91071.0,,,Electronics,191900,-181.31,-2,0.72,1087.73,2025-01-31,East,Cash
60998.0,56,Male,Clothing,590995,2758.24,49,0.93,1431.12,2024-04-08,Unknown,
21346.0,Unknown,Female,Misc,36650,7670.27,45,0.78,4150.35,2024-06-09,South,Card
37049.0,Unknown,Female,Groceries,542037,1059.23,19,0.73,4056.11,2024-02-02,Central,Card
49379.0,Unknown,Male,Electronics,334941,438.94,11,1.04,2153.62,2024-07-19,East,Card
80105.0,45,Male,Misc,438457,4021.46,28,0.64,4345.33,,Central,Card
49831.0,46,Female,Home Decor,687431,3921.77,44,0.88,459.43,2024-12-27,North,
43576.0,43,Male,Toys,688603,6304.35,21,-0.2,2971.56,2024-04-01,North,Card
20052.0,34,Male,Home Decor,354062,-66.03,22,0.58,4415.6,2024-05-03,West,
13357.0,Unknown,,Clothing,830938,9929.26,-2,0.49,948.26,2025-01-14,North,UPI
19024.0,42,Female,Home Decor,362839,7408.73,42,1.18,2640.71,2024-04-21,West,Cash
18753.0,28,Female,Toys,476233,5136.31,7,0.11,4129.82,2024-06-28,North,Card
14703.0,Unknown,Female,Misc,277722,9144.95,14,0.45,1142.2,2024-08-26,Unknown,
44105.0,Unknown,,Misc,892150,6194.75,-5,0.14,304.16,2024-01-29,North,
49447.0,Unknown,Male,Electronics,242685,8869.86,19,-0.04,2866.41,2023-11-11,Unknown,Cash
54111.0,19,,Misc,598822,4742.1,15,0.82,2758.14,2024-12-05,South,Card
90378.0,Unknown,,Clothing,111368,3552.59,14,1.03,3236.99,2023-08-30,Central,Cash
26150.0,Unknown,,Misc,793273,1139.0,5,0.09,1065.48,2024-01-09,West,UPI
14982.0,37,,Electronics,499721,8611.08,0,-0.2,491.08,2024-09-07,South,UPI
89014.0,28,Male,Home Decor,591444,7683.93,33,0.65,4438.47,2024-04-29,Unknown,UPI
37364.0,48,,Home Decor,290818,6068.0,19,0.21,2688.72,2024-12-31,North,Card
87397.0,60,Female,Groceries,170952,9658.98,4,-0.1,380.12,2024-02-01,West,Card
35253.0,Unknown,Male,Toys,963380,8936.55,48,0.77,922.67,2025-01-25,West,Cash
88252.0,27,Male,,118467,3452.17,-3,0.71,4672.13,2023-10-30,South,Cash
4703.0,22,Female,Home Decor,879212,5014.07,36,1.16,480.22,2024-09-03,South,
36174.0,Unknown,Female,Groceries,796889,5443.92,17,-0.11,4244.36,2023-10-25,Unknown,UPI
43422.0,Unknown,,Home Decor,794520,9953.66,42,0.12,2949.54,,East,Card
